"Source of information [ENTER MULTIPLE CODES IF APPLICABLE] 1=Editor&Publisher, 2=Cision, 3=LION, 4=INN, 5=CCM, 6=BIA/Kelsey, 10=Manual search, 11=Lib of Congress (DON'T USE), 12=OnlineNewspaperDirectory, 13=MichelesList, 14=Mondotimes, 15=ABYZ, 16=NAM, 17=NatlNewspaperAssoc, 18=Other, 19 = NJPA",Name of outlet or organization,"Coverage area (9=not applicable, e.g. 5 or more counties",Munis covered (clean for Zev) 9=coverage area not clear or too diffuse,"Municipality ""character"" code; 6 = even mix of characteristics; 9 = n/a (from Nj State Police 2016 Uniform Crime Report: https://www.njsp.org/ucr/2016/index.shtml, section 7)",Outlet/org URL (homepage) (9=no website),"FREQUENCY 1=daily, 2=weekly, 3=biweekly, 4=monthly, 5=bimonthly, 6=regularly (but not daily), 7=irregularly, 8 annually","Original medium 1=Newspaper 2=Television 3=Radio 4=Online, 5=Magazine",Outlet/org owner (9=Don't know or N/A),"Outlet's language of publication 1=English, 2=Spanish, 3=Arabic, 4=Hindi or other language of India, 5=Mandarin or Cantonese, 6=Other, 7=Multilingual, 8=Tagalog or other Filipino language 9=Don't know/NA, 10=Korean, 11=Polish, 12=Ukranian","Does this outlet serve an ethnic community? 1=yes, 2=no","Is this outlet public media? (1=yes, 2=no)","(for Philly and NYC outlets) Does this outlet serve NJ? (1=yes, 2=no, 9=N/A)",Notes,Other potential variables: staff size,other variable: is the outlet hyperlocal? Y/N
16,Kurier Plus,9,9,9,9,2,1,Independently owned (Zofia Doktorowicz-Klopotowska),11,1,2,1,,,
"15, 14, 6, 2",KYW 1060AM,"Atlantic, Ocean, Burlington, Camden, Gloucester, Salem, Cumberland, Cape May, Monmouth, Somerset, Middlesex, Mercer, Hunterdon, Morris, and Union counties",9,9,http://kywnewsradio.radio.com/,1,3,Entercom,1,1,2,1,,,
"11, 2, 1, 16",La Tribuna,9,9,9,https://latribunanj.com/,4,1,Independtly owned (Carlos G. Bidot),2,1,2,9,,,
"16, 2",La Voce di New York,9,9,9,http://www.lavocedinewyork.com/en/,2,1,Independently owned (VNY Media),"7 (1, 6 (Italian))",1,2,1,,,
"5, 2, 1, 16",La Voz,9,9,9,9,3,1,The Voice Publishing Corp. ,2,1,2,9,,,
"5, 2","Lakewood Scoop, The",Lakewood,Lakewood,Suburban,http://www.thelakewoodscoop.com/,1,4,Independently owned,1,2,2,9,,,
"5, 16, 12, 2",Latinos Unidos de Nueva Jersey,"Monmouth/ Urban (3), Suburban (39), Rural (6), Ocean/ Urban (1), Suburban (22), Rural (10), Middlesex/ Urban (9), Suburban (15), Rural (1), and Mercer/ Urban (1), Suburban (7), Rural (4)",9,Suburban,http://www.lunj.net,1,1,Independently owned,2,1,2,9,Stories do not have datelines and appear to be lifted in full from other outlets (google search the headlines),,
"15, 14, 12, 12, 2","Law.com/Legal Intelligencer, The","Newark (Urban), Rosedale (Suburban), Florham Park (Suburban)","Newark, Rosedale, Florham Park",Suburban,https://www.law.com/thelegalintelligencer/,1,1,ALM Media Properties LLC,1,2,2,1,"Hosted online by Law.com who have many other publications (one of oldest daily law journals in US, est. 1843)Stephanie Murray New Jersey contact : 215",,
"18, 2, 1",Lawrence Gazette,Lawrence,Lawrence,Rural,https://communitynews.org/lawrence-gazette/,4,1,"Community News Service, LLC",1,2,,9,"Websites are all under communitynews.org, but printed papers go out monthly",,
"5, 15, 1, 12, 2","Lawrence Ledger, The",Lawrence Township,Lawrence Township,Rural,https://centraljersey.com/lawrence-ledger/,1,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,websites under centraljersey.com,,
none?,Ledger Local,"Union County, Essex County, Morris County","Union County, Essex County, Morris County",,http://www.nj.com/independentpress/,1,4,Advance,1,2,2,9,website links to closed closed newspaper Independent Press: https://www.tapinto.net/articles/independent-press-last-weekly-print-edition-newsp; need to ask interviewee about this,,
5,Lehigh Valley News,"Warren County/ Urban (1), Suburban (2), Rural (19)",Warren County,Rural,http://www.lehighvalleylive.com/expresstimes/,1,1,Advance,1,2,2,1,Affiliated with NJ Advance; Express Times is primarily print but they have a digital version,,
2,Life in Linden,Linden,Linden,Urban,https://rennamedia.com/publications/life-in-linden/,4,1,Renna Media,1,2,2,9,,,
2,"Link News, The","Monmouth County/ Urban (3), Suburban (39), Rural (6)",Monmouth County,Suburban,http://thelinknews.net,NA,1,Independently owned,1,2,2,9,,,
2,Livingston News/Livingston Life,Livingston,Livingston,Suburban,https://www.mypaperonline.com/category/livingston-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
5,Local Talk News,"Essex county/ Urban (13), Suburban (9), Rural (0)",Essex County,Urban,9,2,1,Independently owned (Local Talk Printing),1,2,2,9,"https://localtalkweekly.com/recent-newspapers; Local Talk Newspaper’s current readership is 36,000 - 45,000 per week.",,
2,Long Hill Leader,"Gillette (Suburban), Millington (Suburban), Stirling (Suburban)","Gillette, Millington, Stirling",Suburban,https://rennamedia.com/publications/long-hill-leader/,4,1,Renna Media,1,2,2,9,,,
"5, 1, 16, 11, 12, 2",Luso Americano,Newark,Newark,Urban,http://www.lusoamericano.com,1,1,Independently owned,6 (Portuguese),1,2,9,,,
"18, 2","Lyndhurst, North Arlington, & Wallington Daily Voice","Lyndhurst (Urban), North Arlington(Urban), Wallington(Urban)","Lyndhurst, North Arlington, Wallington",Urban,https://dailyvoice.com/new-jersey/lyndhurst,1,4,Cantata Media (Jerry DeMarco),2,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
"17, 5, 15, 2, 19, 1, 12",Madison Eagle,Madison,Madison,Suburban,http://www.newjerseyhills.com/madison_eagle/,2,1,New Jersey Hills Media Group,1,2,2,9,,,
2,Madison Monthly,Madison,Madison,Suburban,https://rennamedia.com/publications/madison-monthly/,2,1,Renna Media,1,2,2,9,,,
"18, 2",Mahwah-Ramsey Daily Voice,"Mahwah(Suburban), Ramsey(Suburban)","Mahwah, Ramsey",Suburban,https://dailyvoice.com/new-jersey/mahwah,1,4,Cantata Media (Jerry DeMarco),2,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
"1, 15, 14, 12",Main Line Suburban Life,Suburban Philly,9,Suburban,http://www.mainlinemedianews.com/mainlinesuburbanlife/,2,1,Digital First Media,1,2,2,1,They deliver to NJ and PA but at increased (out of county) subscription rates. Part of a conglomerate with 3 titles.,,
"1, 14",Main Line Times,unknown,9,9,http://www.mainlinemedianews.com/mainlinetimes/,2,1,Digital First Media,1,2,2,1,Part of same conglomerate as Mainline Suburban Life,,
"15, 2","Manchester Times, The","Ocean/ Urban (1), Suburban (22), Rural (10)",Ocean County,Suburban,https://www.jerseyshoreonline.com/themanchestertimes/,2,1,"Micromedia Publications, Inc.",1,2,2,9,see https://issuu.com/micromediapubs/stacks,,
"15, 2, 1","Marlton Sun, The",Marlton,Marlton,Suburban,https://marltonsun.com/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
2,Matters Magazine,"Maplewood (Urban), South Orange (Suburban)","Maplewood, South Orange",6,https://www.mattersmagazine.com/stories,5,5,Independently owned,1,2,2,9,"We mail and distribute to 16,000 households and businesses in Maplewood & South Orange",,
"15, 2, 1","Medford Sun, The",Medford,Medford,Suburban,https://medfordsun.com/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
2,Mendham News/Mendham Life,Mendham,Mendham,Suburban,https://www.mypaperonline.com/category/the-mendham-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
5,MercerMe,"Mercer County/ Urban (1), Suburban (7), Rural (4)",Mercer County,Suburban,http://mercerme.com,6,4,Independently owned,1,2,2,9,,,
"1, 15, 14, 2",Metro Philadelphia,unknown,9,9,http://www.metro.us/philadelphia,1,1,Metro Media,1,2,2,1,,,
"5, 15, 2, 19","Middle Township Gazette, The",Middle Township,Middle Township,Rural,https://www.pressofatlanticcity.com/currents_gazettes/middle_township/,2,1,Lee Enterprises,1,2,2,9,,,
2,Millburn-Short Hills News/Millburn-Short Hills-Maplewood Life,"Millburn (Suburban), Shorthills (Suburban), Maplewood (Urban)","Millburn, Shorthills, Maplewood",Suburban,https://www.mypaperonline.com/category/millburn-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
18,"Monitor Magazine, The",Trenton,Trenton,Urban,9,4,5,Trenton Diocese,1,2,2,9,,,
"5, 15, 2, 19, 1","Monmouth Journal, The","Monmouth/ Urban (3), Suburban (39), Rural (6)",Monmouth County,Suburban,http://www.themonmouthjournal.com,2,1,Independently owned,1,2,2,9,,,
2,"Montclair Dispatch, The","Montclair (Urban), Glen Ridge (Urban), Bloomfield (Urban), and Verona (Urban) ","Montclair, Glen Ridge, Bloomfield, Verona ",Urban,https://montclairdispatch.com,3,1,Independently owned,1,2,2,9,,,
18,Montclair Local,Montclair,Montclair,Urban,https://www.montclairlocal.news/wp/,2,1,Independently owned,1,2,2,9,,,
"5, 15, 1, 12, 2","Montclair Times, The",Montclair,Montclair,Urban,9,2,1,Gannett,1,2,2,9,bought by Gannett; http://themontclairtimes.newspaperdirect.com/epaper/viewer.aspx?newspaper=the+montclair+times&cid=7661&google=1,,
"5, 15, 1, 2","Montclarion, The",Montclair,Montclair,Urban,http://www.themontclarion.org/,3,1,Montclair State University,1,2,2,9,,,
"15, 2","Montgomery News, The","Belle Mead (Rural), Blawenburg (Rural), Griggstown (Rural), Harlingen (Rural), Montgomery (Rural), Skillman (Rural), and Rocky Hill, NJ (Suburban)","Belle Mead, Blawenburg, Griggstown, Harlingen, Montgomery, Skillman, Rocky Hill",Rural,https://www.themontynews.org/,4,1,Indepedently owned,1,2,2,9,,,
"15, 2, 1","Moorestown Sun, The","Moorestown (Subruban),Mount Laurel Township (Suburban), Delran, NJ (Urban)","Moorestown, Mount Laurel, Delran",Suburban,https://moorestownsun.com/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"5, 2",More Monmouth Musings,"Monmouth/ Urban (3), Suburban (39), Rural (6)",Monmouth County,Suburban,http://www.moremonmouthmusings.net/,1,4,Independently owned,1,2,2,9,,,
"1, 2","Morning Call, The","Warren County/ Urban (1), Suburban (2), Rural (19)",Warren County,Rural,http://www.mcall.com/,1,1,"Tribune Publishing, Inc.",1,2,2,1,,,
"17, 5, 15, 2, 19, 1, 12",Morris NewsBee,"Morris Plains (Suburban), Morris Township (Suburban), Morristown (Urban)","Morris Plains, Morris Township, Morristown",Suburban,http://www.newjerseyhills.com/morris_news_bee/,2,1,New Jersey Hills Media Group,1,2,2,9,,,
2,Morristown News/Morristown Life,Morristown,Morristown,Urban,https://www.mypaperonline.com/category/the-morristown-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
"5, 13, 2",MorristownGreen.com,Morristown,Morristown,Urban,http://www.morristowngreen.com/,6,4,Independently owned,1,2,2,9,,,
"17, 5, 15, 2, 19, 1, 12",Mount Olive Chronicle,"Budd Lake (Suburban), Flanders (Suburban)","Budd Lake, Flanders",Suburban,http://www.newjerseyhills.com/mt_olive_chronicle/,2,1,New Jersey Hills Media Group,1,2,2,9,,,
2,Mountainside View,Mountainside,Mountainside,Suburban,https://rennamedia.com/publications/mountainside-view/,4,1,Renna Media,1,2,2,9,,,
"2, 1","Mt. Laurel Sun, The","Mount Laurel Township (Suburban), Hartford (Suburban)","Mount Laurel, Hartford",Suburban,http://mtlaurelsun.com,6,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
2,"Mt. Olive News, The",Mt. Olive,Mt. Olive,Suburban,https://www.mypaperonline.com/category/the-mt-olive-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
18,"Mullica Hill Sun, The",Mt. Olive,Mt. Olive,Suburban,https://thesunpapers.com/mullica-hill-sun/,1,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
18,my central jersey,9,9,9,https://www.mycentraljersey.com/,1,4,Gannett,1,2,2,9,This is a Gannett side to which a bunch of now-defunct locals directs when you search directly for them,,
2,"My Paper Online/HomeTown Life- Pompton Lakes, Bloomingdale, Riverdale, Butler, Kinnelon, Smokerise","Pompton Lakes (Suburban), Bloomingdale (Suburban), Riverdale (Suburban), Kinnelon (Suburban), Smokerise(Suburban)","Pompton Lakes, Bloomingdale, Riverdale, Butler, Kinnelon, Smokerise",Suburban,https://www.mypaperonline.com/category/pompton-laks-bloomingdale-riverdale-butler-kinnelon-smokerise,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
"5, 15, 13, 2",MyVeronaNJ,Verona,Verona,Urban,http://www.myveronanj.com/,4,4,Independently owned,1,2,2,9,,,
5,New Brunswick Today,New Brunswick,New Brunswick,Urban,http://www.newbrunswicktoday.com/,1,1,Independently owned,"7 (1, 2)",1,2,9,,,
10,New Jersey Business,9,9,9,https://njbmagazine.com/,4,5,NJBIA,1,2,2,9,,,
18,New Jersey Business Daily,9,9,9,https://njbusinessdaily.com/,6,4,Metro Business Network,1,2,2,9,"This is a ""pink slime"" conservatively biased algorithmically produced local news site: see https://www.cjr.org/tow_center_reports/hundreds-of-pink-slime-local-news-outlets-are-distributing-algorithmic-stories-conservative-talking-points.php?ct=t(Top_Stories_CJR_new_Jan_26_1_25_2017_COPY_01)&mc_cid=75e2d3a39c&mc_eid=3a0678ce80",,
2,New Jersey Buzz,9,9,9,https://newjerseybuzz.com/,6,4,Independently owned,1,2,2,9,,,
"18, 16, 2",New Jersey Catholic,9,9,9,9,4,5,Archdiocesan Magazine,1,2,2,9,https://www.rcan.org/njcatholic,,
"15, 2","New Jersey Farmer, The",9,9,9,https://americanfarmpublications.com/the-new-jersey-farmer/,2,1,American Farm Publications,1,2,2,9,,,
"18, 2",New Jersey Globe,9,9,9,https://newjerseyglobe.com/,1,4,Independently owned,1,2,2,9,new outlet by former Christie guy; surfaced by Joe and Stefanie,,
"5, 15, 19, 2, 1, 12",New Jersey Herald,"Sussex/ Urban (0), Suburban (3), Rural (21) and Warren/ Urban (1), Suburban (2), Rural (19) counties","Sussex County, Warren County",Rural,http://www.njherald.com/,1,1,Quincy Media,1,2,2,9,,,
"2, 19, 16, 1",New Jersey Jewish News,9,9,9,https://njjewishnews.timesofisrael.com/,3,1,Jewish Week Media Group,1,1,2,9,,,
"5, 15, 10, 2",New Jersey Monthly,9,9,9,http://www.njmonthly.com/,4,5,Independently owned,1,2,2,9,,,
"18, 6, 2",New Jersey News Network (NJNN) / WJLP-TV / WNWT?,"Sussex, Passaic, Bergen, Essex, Union, Morris Warren, Hunterdon, Somerset, Middlesex, Monmouth, Ocean, Mercer, and Burlington counties",9,9,http://wjlp3.com/,1,2,"PMCM TV, LLC",1,2,2,9,"Same as WJLP Me-TV3; New Jersey News Network is a station dedicated to providing in-depth coverage of the Garden State that has been missing. Led by a talented newsroom, NJNN aims to put New Jerseyans first, by delivering stories and information about the people, places and things that are both relevant and pertinent to residents of North Jersey, South Jersey and the Jersey Shore. With a digital-first mindset, while not ignoring traditional TV news, NJNN is spearheading the push to pushing out New Jersey content in various forms, including live streaming of reports and original shows, documentary-style podcasts and cinematic video shorts, behind-the-scenes sneak peeks and many more online-tailored programming. NJNN is a New Jersey news revolution, a digital evolution of an already established brand. KVNV-TV Channel 3, launched in the New York City market on Oct. 1, 2014 at 6 p.m., as MeTV with an episode of CHiPs. Two days later, on October 3, 2014, the call letters were changed to WJLP in honor of the company’s chairman Jules L. Plangere Jr. PMCM-TV LLC is the owner and operator of NJNN which is licensed to Middletown, New Jersey. Now, NJNN is able to serve not only the residents of New Jersey, who were being overlooked, but the entire New York market as well. It has a 7,000-watt transmitter at 4 Times Square in Manhattan.",,
"5, 2",New Jersey Public Radio,9,9,9,https://www.wnyc.org/series/new-jersey-public-radio/,6,3,Independently owned,1,2,1,1,NY radio station serving parts of NJ,,
5,New Jersey Revolution Radio,9,9,9,http://njrevolutionradio.com/,2,3,Independently owned,1,2,9,9,,,
"5, 2",New Jersey Tech Weekly,9,9,9,http://www.njtechweekly.com/,2,4,Independently owned,1,2,2,9,,,
2 ,New Providence News,New Providence,New Providence,Suburban,https://rennamedia.com/publications/new-providence-news/,4,1,Renna Media,1,2,2,9,,,
"16, 2",New Tang Dynasty TV,9,9,9,9,1,2,Epoch Media Group,"7 (1, 5)",1,2,1,,,
2,New Town' Press,"Swedesboro (Rural), Woolwich Township (Rural), Logan Township (Rural), East Greenwich Township (Suburban), Mullica Hill (Rural) , Auburn (Rural), and South Harrison Township (Rural)","Swedesboro, Woolwich Township, Logan Township, East Greenwich Township, Mullica Hill, Auburn, South Harrison Township",Rural,https://newtownpress.com/,4,1,Independently owned,1,2,2,9,,,
"1, 11, 12, 2","New York Times, The",9,9,9,http://nytimes.com/,1,1,Independently owned,1,2,2,1,,,
16,Newark Black News,Newark,Newark,Urban,http://www.newarkblack.com,1,4,NBG Network,1,1,2,1,,,
"18, 2","Newark Times, The",Newark,Newark (Urban),Urban,http://thenewarktimes.com/,6,4,"Independently owned (The Newark Times, LLC)",1,2,2,9,,,
"16, 2",News India Times,9,9,9,http://www.newsindiatimes.com,2,1,"Parikh Worldwide Media, LLC ",1,1,2,1,,,
"5, 15, 2, 19, 1, 12",News Transcript,"Colts Neck (Suburban), Englishtown (Rural) , Freehold (Rural), Morganville (Suburban), Manalapan (Suburban), Marlboro (Subburban)","Colts Neck, Englishtown, Freehold, Morganville, Manalapan, Marlboro",Suburban,https://centraljersey.com/news-transcript/,6,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,part of centraljersey.com,,
"15, 2, 5",news12 New Jersey,9,9,9,http://newjersey.news12.com/,1,2,News 12 Networks,1,2,2,9,24-hour local news service,,
5,NJ Environment News,9,9,9,http://njenvironmentnews.com,6,4,Gattuso Media Design,1,2,2,9,,,
"5, 2",NJ Pen,"Audubon (Urban), Audubon Park (Urban), Haddonfield (Urban), Cherry Hill (Suburban), Haddon Township (Urban),  Barrington (Suburban), Tavistock (Suburban), Haddon Heights (Urban), Collingswood (Urban), Pennsauken Township (Urban), Camden (Urban), Merchantville (Urban), Oaklyn (Urban), Woodlynne (Urban), Bellmawr (Surburban), Brooklawn (Urban), Mount Ephraim (Urban),  Gloucester City (Urban)","Audubon, Audubon Park, Haddonfield, Cherry Hill, Haddon Township,  Barrington, Tavistock, Haddon Heights, Collingswood, Pennsauken Township, Camden, Merchantville, Oaklyn, Woodlynne, Bellmawr, Brooklawn, Mount Ephraim, Gloucester City",Urban,https://www.njpen.com,6,4,Independently owned (Matt Skoufalous),1,2,2,9,,,
"5, 15, 13, 2",NJ Spotlight,9,9,9,http://www.njspotlight.com/,6,4,WNET,1,2,2,9,,,
"5, 15, 2",NJ.com,9,9,9,http://www.nj.com/,1,4,Advance,1,2,2,9,,,
"15, 2",NJBiz,9,9,9,http://www.njbiz.com/,5,5,BridgeTower Media,1,2,2,9,,,
"5, 15, 2, 1",NJToday.net,9,9,9,http://www.njtoday.net/,2,1,CMD Media,1,2,2,9,"also home of the News Record, listed in ABYZ, but now apparently consolidated",,
"5, 15, 6, 2",NJTV,9,9,9,https://www.njtvonline.org/news/,1,2,"Public Media NJ, Inc.",1,2,1,9,(same as WNJT-TV),,
"18, 2",North Passaic Daily Voice,"Bloomingdale (Suburban), Pompton Lakes (Urban), Ringwood (Suburban), Wanaque (Suburban) & West Milford (Suburban)","Bloomingdale, Pompton Lakes, Ringwood, Wanaque, West Milford",Suburban,https://dailyvoice.com/new-jersey/northpassaic,6,4,Cantata Media (Jerry DeMarco),1,2,2,1,Connecticut and New York news outlets as well,,
"18, 2",Northern Highlands Daily Voice,"Allendale (Suburban), Ho-Ho-Kus (Urban), Midland Park (Urban), Saddle River (Suburban), Upper Saddle River (Suburban), Waldwick (Urban)","Allendale, Ho-Ho-Kus, Midland Park, Saddle River, Upper Saddle River, Waldwick",6,https://dailyvoice.com/new-jersey/northernhighlands,6,4,Cantata Media (Jerry DeMarco),1,2,2,1,Connecticut and New York news outlets as well,,
"18, 2",Northern Valley Daily Voice,"Harrington Park (Suburban), Haworth (Urban), Northvale (Suburban), Norwood (Suburban), Old Tappan (Suburban), Rockleigh (Suburban)","Harrington Park, Haworth, Northvale, Norwood, Old Tappan, Rockleigh",Suburban,https://dailyvoice.com/new-jersey/northernvalley,6,4,Cantata Media (Jerry DeMarco),1,2,2,1,Connecticut and New York news outlets as well,,
18,Northern Valley Press (North and South),"Closter (Suburban), Demarest (Suburban), Haworth (Urban), Harrington Park (Suburban), Northvale (Suburban), Norwood (Suburban), Old Tappan (Suburban), Rockleigh (Suburban), Alpine (Suburban), Cresskill (Suburban), Englewood (Urban), Englewood Cliffs (Urban), and Tenafly (Urban)","Closter, Demarest, Haworth, Harrington Park, Northvale, Norwood, Old Tappan, Rockleigh, Alpine, Cresskill, Englewood, Englewood Cliffs, Tenafly",Urban,https://thepressgroup.net/category/northern-valley-press/,6,1,The Press Group Inc.,1,2,2,9,"Privately held, over 57,000 homes in Bergen County",,
"5, 15, 19, 1, 2",Northern Valley Suburbanite,"Alpine (Suburban), Bergenfield (Urban), Closter (Suburban), Cresskill (Suburban), Demarest (Suburban), Dumont (Urban), Englewood (Urban), Englewood Cliffs (Urban), Harrington Park (Suburban), Haworth (Urban), Northvale (Suburban), Norwood (Suburban), Old Tappan (Suburban), Rockleigh (Suburban), and Tenafly (Urban).","Alpine, Bergenfield, Closter, Cresskill, Demarest, Dumont, Englewood, Englewood Cliffs, Harrington Park, Haworth, Northvale, Norwood, Old Tappan, Rockleigh, Tenafly",Suburban,9,2,1,Gannett,1,2,2,9,bought by Gannett; http://northernvalleysuburbanite.newspaperdirect.com/epaper/viewer.aspx,,
"5, 2",northjersey.com,9,9,9,http://www.northjersey.com/,1,4,Gannett,1,2,2,9,,,
16,Noticiero Columbiano Hispano,9,9,9,http://www.noticierohispano.com/,2,1,Independently owned,2,1,2,9,,,
"5, 1, 16, 2",Nowy Dziennik Polish Weekly,9,9,9,http://www.dziennik.com,6,1,Outwater Media Group LLC,11,1,2,9,Pulished in New York and New Jersey since 1971,,
"1, 16","Nubian News, The",9,9,9,9,3,1,Independently Owned (Kamau K. Kujichagulia),1,1,2,9,,,
"5, 15, 2, 19, 1",Nutley Sun,Nutley,Nutley,Urban,9,2,1,Gannett,1,2,2,9,https://nutleysun-nj.newsmemory.com/,,
"5, 15",Observer,9,9,9,http://www.politickernj.com/,1,4,"Independently owned (CEO, Michael Rose)",1,2,2,9,weird outlet; seems clickfarmy,,
"15, 2, 12","Observer Online, The","Kearny (Urban), Harrison (Urban), East Newark (Urban), North Arlington (Urban), Lyndhurst (Urban) , Belleville (Urban), Bloomfield (Urban) and Nutley (Urban)","Kearny, Harrison, East Newark, North Arlington, Lyndhurst, Belleville, Bloomfield, Nutley",Urban,http://www.theobserver.com/,3,1,Independently owned,1,2,2,9,,,
"17, 5, 15, 2, 19, 1, 12",Observer-Tribune,"The Mendhams (Suburban), Chester borough (Rural), Harding Township (Suburban) and Washington Township (Suburban)","The Mendhams, Chester borough, Harding Township, Washington Township",Suburban,https://www.newjerseyhills.com/observer-tribune/,2,1,New Jersey Hills Media Group,1,2,2,9,,,
"5, 15, 2, 19, 1",Ocean City Sentinel,Ocean City,Ocean City,Suburban,http://www.ocsentinel.com/,2,1,Independently owned,1,2,2,9,,,
"2, 1",Ocean County College Television,"Toms River (Suburban), Long Beach Island (Suburban)","Toms River, Long Beach Island",Suburban,9,1,2,Ocean County College,1,2,2,9,(Ocean TV-20) https://legacy.ocean.edu/content/public/for-the-community/ocean-tv-20.html; https://www.ocean.edu/community/ocean-tv-20/,,
"2, 5, 15, 19, 1, 12","Ocean Star, The","Ocean County/ Urban (1), Suburban (22), Rurall (10)",Ocean County,Suburban,https://starnewsgroup.com/the-ocean-star-e-edition/,2,1,Star News Group,1,2,2,9,part of star news group: https://starnewsgroup.com/the-ocean-star-e-edition/; https://starnewsgroup.com/subscribeocean/,,
"5, 13",OCNJ Daily,Ocean City,Ocean City,Suburban,http://ocnjdaily.com/,1,4,Independently owned,1,2,2,9,,,
16,OSM!,9,9,9,http://justcliqit.com,2,5,Independently owned (Marivir Montebon),1,1,2,1,,,
"2, 1, 12",Our Town,"Maywood (Urban), Rochelle Park (Urban), Saddlewood (Urban)","Maywood, Rochelle Park, Saddlewood",Urban,9,2,1,Independently owned,1,2,2,9,http://www.ourtownnewsonline.com/index.html,,
2,Our Town Rahway,Rahway,Rahway,Urban,https://rennamedia.com/publications/our-town-rahway/,4,1,Renna Media,1,2,2,9,,,
"5, 15, 1","Outlook, The",West Long Branch,West Long Branch,Suburban,http://outlook.monmouth.edu,2,1,Monmouth University,1,2,2,9,,,
1,"Palmyra Sun, The",Palmyra,Palmyra,Urban,https://thesunpapers.com/palmyra-sun/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"15, 2","Paramus Post, The","Bergen County/ Urban (46), Suburban (20), Rural (0)",Bergen County,Urban,http://www.paramuspost.com/,1,1,9,1,2,2,9,,,
"18, 2",Paramus-Oradell-River Edge Daily Voice,"Paramus (Suburban), Oradell (Suburban), & River Edge (Urban)","Paramus, Oradell, River Edge",Suburban,https://dailyvoice.com/new-jersey/paramus,6,4,Cantata Media (Jerry DeMarco),2,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
2,Parsippany Focus,Parsippany,Parsippany,Suburban,http://parsippanyfocus.com,1,4,Galleria Associates,1,2,2,9,,,
2,Pascack Press,"Emerson (Urban), Hillsdale (Urban), Montvale (Suburban), Park Ridge (Urban), River Vale (Suburban), Washington Township (Urban), Westwood (Urban) & Woodcliff Lake (Suburban)","Emerson, Hillsdale, Montvale, Park Ridge, River Vale, Washington Township, Westwood, Woodcliff Lake",Urban,https://thepressgroup.net/category/pascack-press/,2,1,The Press Group Inc.,1,2,2,9,part of the press group,,
"18, 2",Pascack Valley Daily Voice,"Emerson (Urban), Hillsdale (Urban), Montvale (Suburban), Park Ridge (Urban), River Vale (Suburban), Washington Township (Urban), Westwood (Urban) & Woodcliff Lake (Suburban)","Emerson, Hillsdale, Montvale, Park Ridge, River Vale, Washington Township, Westwood, Woodcliff Lake",Urban,https://dailyvoice.com/new-jersey/pascackvalley,6,4,Cantata Media (Jerry DeMarco),2,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
18,Patch-Asbury Park,Asbury Park,Asbury Park,Urban,https://patch.com/new-jersey/asbury-park,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Barnegat-Manahawkin,Barnegat (Rural) and Manahawkin (Rural),"Barnegat, Manahawkin",Rural,http://patch.com/new-jersey/barnegat-manahawkin,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Basking Ridge,Basking Ridge,Basking Ridge,Suburban,http://patch.com/new-jersey/baskingridge,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Belleville-Nutley,"Belleville (Urban), Nutley (Urban)","Belleville, Nutley",Urban,http://patch.com/new-jersey/belleville,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Berkeley,Berkeley,Berkeley,Suburban,http://patch.com/new-jersey/berkeley-nj,1,4,Hale Global,1,2,2,9,,,
5,Patch-Bernardsville-Bedminster,Bernardsville (Suburban) and Bedminster (Rural),"Bernardsville, Bedminster",6,http://patch.com/new-jersey/bernardsville-bedminster,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Bloomfield,Bloomfield,Bloomfield,Urban,http://patch.com/new-jersey/bloomfield,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Brick,Brick,Brick,Suburban,http://patch.com/new-jersey/brick,1,4,Hale Global,1,2,2,9,,,
